Potential (V),Current (A)
0.798969603341726,0.000137649805447471
0.786394643396658,5.50E-05
0.774433096131838,3.95E-05
0.762164842526894,3.22E-05
0.750816707942321,2.79E-05
0.738548454337377,2.48E-05
0.727200319752804,2.27E-05
0.71493206614786,2.08E-05
0.702663812542916,1.93E-05
0.691008971618219,1.82E-05
0.679354130693522,1.71E-05
0.666165758068208,1.63E-05
0.654817623483635,1.57E-05
0.642856076218814,1.49E-05
0.630894528953994,1.42E-05
0.618932981689174,1.35E-05
0.606971434424353,1.35E-05
0.595009887159533,1.26E-05
0.583048339894713,1.25E-05
0.570780086289769,1.19E-05
0.559125245365072,1.14E-05
0.546550285420005,1.09E-05
0.535202150835431,1.02E-05
0.522627190890364,9.60E-06
0.510665643625543,8.51E-06
0.498704096360723,7.27E-06
0.487049255436026,5.51E-06
0.474781001831083,2.61E-06
0.463432867246509,-6.82E-07
0.451164613641565,-5.72E-06
0.438896360036622,-1.22E-05
0.426934812771801,-2.04E-05
0.414973265506981,-3.01E-05
0.402398305561913,-4.12E-05
0.390743464637217,-5.23E-05
0.378781917372396,-6.29E-05
0.366820370107576,-7.20E-05
0.354552116502632,-7.84E-05
0.342283862897688,-8.14E-05
0.330629021972991,-8.14E-05
0.319280887388418,-7.91E-05
0.306705927443351,-7.54E-05
0.294744380178531,-7.09E-05
0.283089539253834,-6.64E-05
0.27082128564889,-6.23E-05
0.25885973838407,-5.88E-05
0.247204897459373,-5.56E-05
0.234936643854429,-5.26E-05
0.222668390249485,-5.05E-05
0.210706842984665,-4.84E-05
0.198745295719844,-4.64E-05
0.186783748455024,-4.47E-05
0.174822201190204,-4.34E-05
0.162860653925383,-4.19E-05
0.150899106660563,-4.08E-05
0.139244265735866,-3.98E-05
0.126976012130922,-3.85E-05
0.115321171206226,-3.78E-05
0.103052917601282,-3.70E-05
0.0910913703364614,-3.62E-05
0.0791298230716411,-3.55E-05
0.0668615694666972,-3.47E-05
0.0542866095216297,-3.44E-05
0.0429384749370565,-3.35E-05
0.0306702213321126,-3.30E-05
0.0187086740672923,-3.27E-05
0.00705383314259556,-3.20E-05
-0.00490771412222476,-3.15E-05
-0.0168692613870451,-3.12E-05
-0.029137514991989,-3.08E-05
-0.0404856495765621,-3.04E-05
-0.0530606095216297,-2.98E-05
-0.0647154504463264,-2.97E-05
-0.0766769977111467,-2.96E-05
-0.088638544975967,-2.92E-05
-0.101520211261158,-2.90E-05
-0.112561639505608,-2.91E-05
-0.124829893110552,-2.92E-05
-0.137098146715496,-2.94E-05
-0.149366400320439,-2.97E-05
-0.160714534905013,-3.02E-05
-0.17328949485008,-3.08E-05
-0.184944335774777,-3.15E-05
-0.196905883039597,-3.24E-05
-0.208867430304417,-3.36E-05
-0.220828977569238,-3.48E-05
-0.232790524834058,-3.61E-05
-0.244752072098878,-3.75E-05
-0.256713619363699,-3.89E-05
-0.268981872968643,-4.01E-05
-0.280943420233463,-4.11E-05
-0.293211673838407,-4.24E-05
-0.30455980842298,-4.34E-05
-0.317134768368048,-4.40E-05
-0.329096315632868,-4.46E-05
-0.340751156557565,-4.53E-05
-0.353019410162509,-4.57E-05
-0.364674251087205,-4.60E-05
-0.376942504692149,-4.64E-05
-0.389210758297093,-4.64E-05
-0.39749182948043,-4.59E-05
-0.385836988555734,-4.40E-05
-0.373875441290913,-4.27E-05
-0.361607187685969,-4.13E-05
-0.349645640421149,-4.00E-05
-0.337684093156329,-3.90E-05
-0.326029252231632,-3.78E-05
-0.313760998626688,-3.68E-05
-0.301799451361868,-3.55E-05
-0.289837904097047,-3.45E-05
-0.277876356832227,-3.34E-05
-0.265914809567407,-3.22E-05
-0.253646555962463,-3.10E-05
-0.241991715037766,-2.96E-05
