Potential (V),Current (A),
0.798969603341726,4.33E-05,43.3498741130693
0.787008056076905,1.33E-05,13.3049210345617
0.774433096131838,7.51E-06,7.50817120622568
0.762471548867018,4.87E-06,4.86926985580224
0.751123414282444,3.28E-06,3.28359807736324
0.738241747997253,2.05E-06,2.05063859006638
0.726586907072556,1.17E-06,1.16738567177844
0.714318653467613,4.42E-07,0.442270542458228
0.702663812542916,-5.53E-09,-0.00552684824902724
0.691008971618219,-5.19E-07,-0.519376516365301
0.678740718013275,-8.03E-07,-0.802527809567407
0.666472464408331,-1.01E-06,-1.01065873197528
0.654510917143511,-1.54E-06,-1.54279423208972
0.643162782558938,-1.64E-06,-1.64241245136187
0.630894528953994,-1.83E-06,-1.83471732661936
0.61862627534905,-2.03E-06,-2.02978255893797
0.606971434424353,-2.21E-06,-2.20889906157015
0.594703180819409,-2.31E-06,-2.31256580453193
0.582741633554589,-2.53E-06,-2.52910048065919
0.570473379949645,-2.81E-06,-2.80697642481117
0.558511832684825,-3.02E-06,-3.02228427557793
0.546856991760128,-3.44E-06,-3.43633783474479
0.534895444495308,-4.18E-06,-4.18163424124514
0.522933897230487,-5.14E-06,-5.14346532387274
0.51035893728542,-6.45E-06,-6.45126115815976
0.498704096360723,-8.58E-06,-8.5767360952163
0.48735596177615,-1.17E-05,-11.7014602883955
0.474781001831083,-1.59E-05,-15.923579766537
0.462819454566262,-2.18E-05,-21.7822842755779
0.451164613641565,-2.94E-05,-29.3517967498283
0.438896360036622,-3.85E-05,-38.4916456855116
0.426934812771801,-4.89E-05,-48.8767223620966
0.414973265506981,-6.00E-05,-59.9856260013733
0.403011718242161,-7.09E-05,-70.8675669489586
0.390743464637217,-8.05E-05,-80.4613412680247
0.378475211032273,-8.77E-05,-87.7241474021515
0.3671270764477,-9.23E-05,-92.2572671091783
0.355472235523003,-9.35E-05,-93.4902265964752
0.342897275577935,-9.20E-05,-91.9996337834745
0.330935728313115,-8.88E-05,-88.7546807049668
0.318974181048295,-8.44E-05,-84.4362554360265
0.306705927443351,-7.98E-05,-79.8233920805676
0.294744380178531,-7.54E-05,-75.4006866559853
0.28278283291371,-7.14E-05,-71.4073701075761
0.270514579308766,-6.79E-05,-67.8863813229572
0.259166444724193,-6.49E-05,-64.8561226825361
0.246898191119249,-6.21E-05,-62.0896314946212
0.234936643854429,-5.98E-05,-59.8138704509041
0.223281802929732,-5.77E-05,-57.6791943236438
0.211320255664912,-5.58E-05,-55.8082856488899
0.199358708400092,-5.42E-05,-54.1888761730373
0.1864770421149,-5.27E-05,-52.6798809796292
0.17451549485008,-5.13E-05,-51.3426413366903
0.163167360265507,-5.01E-05,-50.0728770885786
0.150899106660563,-4.89E-05,-48.9257953765164
0.138937559395743,-4.79E-05,-47.907530327306
0.127282718471046,-4.70E-05,-47.0058136873426
0.115014464866102,-4.61E-05,-46.1040970473793
0.102746211261158,-4.53E-05,-45.2759899290455
0.0910913703364614,-4.44E-05,-44.3926756694896
0.0788231167315175,-4.36E-05,-43.644312199588
0.0668615694666972,-4.30E-05,-42.9756923781186
0.055513434882124,-4.24E-05,-42.3745479514763
0.0432451812771801,-4.17E-05,-41.7304646372168
0.0312836340123598,-4.10E-05,-41.0127718013275
0.0193220867475395,-4.05E-05,-40.4913710231174
0.00766724582284275,-4.00E-05,-39.9638361181048
-0.00521442046234836,-3.95E-05,-39.497642481117
-0.0171759677271687,-3.91E-05,-39.0866559853513
-0.029137514991989,-3.87E-05,-38.7124742504005
-0.0407923559166857,-3.83E-05,-38.3198901350423
-0.0530606095216297,-3.80E-05,-37.9763790341039
-0.06502215678645,-3.78E-05,-37.8414282444495
-0.0772904103913939,-3.77E-05,-37.6696726939803
-0.0889452513160906,-3.76E-05,-37.639002059968
-0.101213504921035,-3.79E-05,-37.8598306248569
-0.113175052185855,-3.82E-05,-38.1972075989929
-0.125443305790799,-3.89E-05,-38.9087663080796
-0.137098146715496,-3.98E-05,-39.8288853284504
-0.149366400320439,-4.07E-05,-40.7183337148089
-0.161021241245136,-4.20E-05,-42.0371709773403
-0.17328949485008,-4.40E-05,-44.0307621881437
-0.184637629434653,-4.62E-05,-46.1715724422064
-0.196905883039597,-4.87E-05,-48.674296177615
-0.209480842984665,-5.08E-05,-50.8335088120851
-0.221749096589609,-5.26E-05,-52.5694666971847
-0.233097231174182,-5.44E-05,-54.3974364843214
-0.244752072098878,-5.56E-05,-55.6303959716182
-0.257020325703822,-5.66E-05,-56.6118562600137
-0.268675166628519,-5.74E-05,-57.3847562371252
-0.280943420233463,-5.79E-05,-57.9245593957427
-0.292904967498283,-5.83E-05,-58.3110093842985
-0.304866514763104,-5.85E-05,-58.5011673151751
