Potential (V),Current (A)
0.790075119,4.24E-05
0.798049484,3.72E-05
0.786394643,3.25E-05
0.773819683,2.97E-05
0.76155143,2.73E-05
0.749896589,2.56E-05
0.738241748,2.37E-05
0.725973494,2.24E-05
0.713398534,2.12E-05
0.7020504,2.01E-05
0.689782146,1.87E-05
0.678127305,1.78E-05
0.666165758,1.70E-05
0.654204211,1.59E-05
0.641629251,1.47E-05
0.630281116,1.34E-05
0.618012863,1.20E-05
0.605744609,1.02E-05
0.594396474,7.70E-06
0.582128221,4.48E-06
0.570166674,-4.23E-08
0.558205126,-5.83E-06
0.546243579,-1.31E-05
0.533975325,-2.20E-05
0.522013778,-3.23E-05
0.510358937,-4.38E-05
0.498090684,-5.56E-05
0.48582243,-6.70E-05
0.474167589,-7.72E-05
0.461592629,-8.50E-05
0.449937788,-8.97E-05
0.437976241,-9.09E-05
0.426014694,-8.92E-05
0.41374644,-8.57E-05
0.402091599,-8.11E-05
0.390130052,-7.62E-05
0.378475211,-7.15E-05
0.36682037,-6.73E-05
0.35424541,-6.37E-05
0.342283863,-6.02E-05
0.330015609,-5.76E-05
0.318667475,-5.50E-05
0.306399221,-5.27E-05
0.293824261,-5.10E-05
0.282476127,-4.92E-05
0.270207873,-4.78E-05
0.258246326,-4.64E-05
0.245978072,-4.51E-05
0.234936644,-4.39E-05
0.222054978,-4.30E-05
0.21009343,-4.21E-05
0.198131883,-4.13E-05
0.185863629,-4.05E-05
0.174515495,-3.99E-05
0.162247241,-3.91E-05
0.149978988,-3.86E-05
0.138324147,-3.80E-05
0.126362599,-3.74E-05
0.113480933,-3.71E-05
0.102132799,-3.65E-05
0.090171251,-3.59E-05
0.078209704,-3.56E-05
0.06594145,-3.53E-05
0.053979903,-3.49E-05
0.042631769,-3.45E-05
0.030670221,-3.43E-05
0.018095261,-3.42E-05
0.005827008,-3.40E-05
-0.005827833,-3.42E-05
-0.018096087,-3.43E-05
-0.029750928,-3.46E-05
-0.042019181,-3.51E-05
-0.053674022,-3.60E-05
-0.065635569,-3.69E-05
-0.077903823,-3.81E-05
-0.089558664,-3.94E-05
-0.101826918,-4.06E-05
-0.113175052,-4.18E-05
-0.126056718,-4.31E-05
-0.138018266,-4.41E-05
-0.149673107,-4.50E-05
-0.16194136,-4.60E-05
-0.173902908,-4.65E-05
-0.186171161,-4.69E-05
-0.197826002,-4.72E-05
-0.209787549,-4.77E-05
-0.221749097,-4.76E-05
-0.233403938,-4.78E-05
-0.245365485,-4.76E-05
-0.257940445,-4.77E-05
