Potential (V),Current (A)
0.798662897,0.0929
0.786087937,0.0592
0.774739802,0.0293
0.762164843,0.0005
0.750816708,0.022
0.738548454,0.003
0.726280201,0.0046
0.71462536,-0.0201
0.7020504,-0.0119
0.690395559,-0.0372
0.678434012,-0.0904
0.666779171,-0.1101
0.65512433,-0.1303
0.641935957,-0.5302
0.630894529,0.1631
0.618319569,-0.3557
0.606664728,-0.0201
0.594396474,-0.5744
0.582128221,-0.0201
0.570780086,-0.7754
0.558511833,-0.9935
0.546550285,-1.7005
0.534588738,-7.8094
0.522933897,-10.9329
0.510665644,-14.4686
0.499010803,-18.357
0.486435843,-23.4998
0.474781002,-28.5666
0.462512748,-33.9401
0.451164614,-39.4118
0.43889636,-44.2577
0.426934813,-48.6682
0.414666559,-52.3609
0.402705012,-54.974
0.390743465,-56.9738
0.378781917,-58.1331
0.366513664,-58.4276
0.35424541,-58.4582
0.342590569,-57.9184
0.330935728,-57.078
0.318667475,-56.2254
0.306399221,-55.0477
0.29474438,-54.0233
0.283089539,-52.7474
0.271127992,-51.6678
0.259473151,-50.4777
0.246591485,-49.3368
0.234629938,-48.2449
0.22266839,-47.2205
0.210706843,-46.1654
0.198745296,-45.1472
0.187090455,-44.2516
0.174822201,-43.3376
0.162860654,-42.5218
0.150899107,-41.6201
0.138324147,-40.9576
0.126669306,-40.1356
0.114707759,-39.424
0.102439505,-38.6879
0.09109137,-38.0009
0.079129823,-37.547
0.066248157,-36.8293
0.054900022,-36.4244
0.042631769,-35.7742
0.030976928,-35.124
0.018708674,-34.9093
0.00644042,-34.3082
-0.005521127,-33.7438
-0.017175968,-33.3635
-0.029137515,-33.0752
-0.041099062,-32.6458
-0.052753903,-32.2226
-0.065328863,-31.9159
-0.077597117,-31.5785
-0.089251958,-31.5969
-0.101213505,-31.5233
-0.113481759,-31.787
-0.125136599,-32.3514
-0.13679144,-33.0936
-0.149059694,-34.0996
-0.161634654,-35.2896
-0.173289495,-36.7496
-0.184944336,-38.2463
-0.197212589,-39.6817
-0.20886743,-41.2213
-0.22144239,-42.626
-0.233097231,-43.9633
-0.245058778,-45.1656
-0.257940445,-46.2022
-0.268981873,-47.0058
-0.281556833,-47.5947
-0.29351838,-48.2756
-0.305479927,-48.9442
-0.317134768,-49.4227
-0.329096316,-49.7907
-0.341364569,-50.306
-0.353632823,-50.901
-0.365287664,-51.085
-0.376942505,-51.7782
-0.389210758,-52.2014
-0.398105242,-51.8456
-0.385836989,-49.3245
-0.373875441,-47.1285
-0.361913894,-45.552
-0.350259053,-43.9633
-0.337990799,-42.761
-0.326335959,-41.4483
-0.314067705,-40.5588
-0.30271957,-39.4118
-0.289837904,-38.3812
-0.278183063,-37.5163
-0.266221516,-36.4306
-0.253953262,-35.7313
-0.241991715,-34.664
-0.229723461,-33.8481
-0.218375327,-33.0323
-0.206107073,-32.1122
-0.19383882,-31.1675
-0.181877272,-30.3333
-0.170222431,-29.2659
-0.157954178,-28.5482
-0.146299337,-27.395
-0.134031083,-26.4626
-0.12176283,-25.5548
-0.110414695,-24.3463
-0.098453148,-23.4998
-0.086184894,-22.2976
-0.074223347,-21.5799
-0.061648387,-20.4634
-0.050300252,-19.801
-0.038031999,-18.9115
-0.025763745,-18.1263
-0.013802198,-17.5681
-0.002147357,-16.7952
0.010120897,-16.2309
0.021775737,-15.8997
0.033737285,-15.2678
0.046005538,-14.9611
0.057967086,-14.6483
0.069928633,-14.1944
0.08189018,-13.9208
0.094158434,-13.8288
0.106119981,-13.7717
0.118388235,-13.6662
0.129736369,-13.5589
0.142004623,-13.5135
0.154272876,-13.435
0.166234424,-13.4724
0.178195971,-13.5748
0.190157518,-13.6932
0.201812359,-13.8644
0.214080613,-13.8901
0.225735454,-14.0146
0.238003707,-13.9527
0.249965255,-13.9502
0.261926802,-13.8619
0.273888349,-13.7742
0.286156603,-13.7447
0.297811444,-13.6546
0.310079697,-13.5564
0.322347951,-13.2577
0.333696085,-12.8541
0.345964339,-12.44
0.358232593,-11.8033
0.37019414,-11.0862
0.381542274,-10.0311
0.393810528,-8.6178
0.405772075,-6.8248
0.417733623,-4.5055
0.42969517,-1.5464
0.441656717,2.01
0.453618264,6.8353
0.465886518,12.3333
0.478154772,18.3361
0.489502906,25.0395
0.50177116,31.5233
0.513732707,37.5899
0.525694254,42.6138
0.537962508,46.3985
0.549924055,48.7786
0.561885602,49.9379
0.573540443,49.987
0.585195284,49.4411
0.598076951,47.9321
0.610038498,46.0366
0.622000045,44.1044
0.633961592,42.2396
0.646229846,40.2644
0.657271274,38.1972
0.67015294,36.4428
0.681501075,34.8234
0.693769329,33.0936
0.706037582,31.8484
0.717385717,30.413
0.729960677,29.0696
0.741615518,28.1004
0.754190478,26.8123
0.765538612,25.9351
0.777806866,24.9904
0.789461707,24.101
0.797436072,22.9539
0.786087937,21.2977
0.773512977,20.4205
0.76155143,19.298
0.749896589,18.4392
0.737628335,17.8074
0.725973494,16.9057
0.713398534,16.145
0.702357106,15.5745
0.689782146,14.9857
0.677820599,14.2189
0.665245639,13.3706
0.654204211,12.9743
0.641935957,12.4198
0.629667704,11.6714
0.61739945,10.7629
0.605744609,9.8029
0.593169649,8.6516
0.581514808,7.3849
0.569859967,5.8894
0.55789842,4.0485
0.545936873,1.5016
0.533975325,-0.7056
0.522013778,-5.782
0.509745525,-10.4838
0.497783977,-15.5653
0.485515724,-21.0646
0.474167589,-26.9534
0.461899336,-32.7562
0.449631082,-37.8721
0.437669535,-42.3561
0.425707987,-46.0489
0.41374644,-48.5393
0.402091599,-50.3366
0.390130052,-51.0605
0.377555092,-51.3426
0.366206957,-50.9133
0.353938704,-50.2324
0.34167045,-49.2141
0.330015609,-47.9995
0.317440649,-46.7236
0.305785808,-45.5336
0.293517555,-44.3252
0.281249301,-43.0493
0.269901167,-41.8961
0.257939619,-40.7674
0.245978072,-39.6571
0.234016525,-38.6021
0.222054978,-37.6819
0.209786724,-36.8109
0.197825177,-35.9337
0.186477042,-35.2467
0.173902082,-34.4554
0.161940535,-33.7132
0.150285694,-33.0077
0.13801744,-32.4066
0.126055893,-32.0017
0.11378764,-31.2963
0.101826092,-31.008
0.090171251,-30.2596
0.077596291,-29.9161
0.066248157,-29.4622
0.053979903,-29.1003
0.042325062,-28.6464
0.029750102,-28.4501
0.018401968,-28.0759
0.006133714,-27.8673
-0.006134539,-27.8551
-0.01778938,-27.622
-0.03036434,-27.6894
-0.042019181,-28.0391
-0.053674022,-28.2477
-0.065942276,-28.7875
-0.078210529,-29.131
-0.089558664,-29.8057
-0.10244033,-30.597
-0.113481759,-31.3577
-0.126363425,-32.4189
-0.137711559,-33.3758
-0.149673107,-34.2959
-0.16194136,-35.3387
-0.173902908,-36.2895
-0.185864455,-37.1421
-0.198132708,-37.9702
