Potential (V),Current (A)
0.798662897,9.29E-08
0.786087937,5.92E-08
0.774739802,2.93E-08
0.762164843,5.04E-10
0.750816708,2.20E-08
0.738548454,2.99E-09
0.726280201,4.62E-09
0.71462536,-2.01E-08
0.7020504,-1.19E-08
0.690395559,-3.72E-08
0.678434012,-9.04E-08
0.666779171,-1.10E-07
0.65512433,-1.30E-07
0.641935957,-5.30E-07
0.630894529,1.63E-07
0.618319569,-3.56E-07
0.606664728,-2.01E-08
0.594396474,-5.74E-07
0.582128221,-2.01E-08
0.570780086,-7.75E-07
0.558511833,-9.94E-07
0.546550285,-1.70E-06
0.534588738,-7.81E-06
0.522933897,-1.09E-05
0.510665644,-1.45E-05
0.499010803,-1.84E-05
0.486435843,-2.35E-05
0.474781002,-2.86E-05
0.462512748,-3.39E-05
0.451164614,-3.94E-05
0.43889636,-4.43E-05
0.426934813,-4.87E-05
0.414666559,-5.24E-05
0.402705012,-5.50E-05
0.390743465,-5.70E-05
0.378781917,-5.81E-05
0.366513664,-5.84E-05
0.35424541,-5.85E-05
0.342590569,-5.79E-05
0.330935728,-5.71E-05
0.318667475,-5.62E-05
0.306399221,-5.50E-05
0.29474438,-5.40E-05
0.283089539,-5.27E-05
0.271127992,-5.17E-05
0.259473151,-5.05E-05
0.246591485,-4.93E-05
0.234629938,-4.82E-05
0.22266839,-4.72E-05
0.210706843,-4.62E-05
0.198745296,-4.51E-05
0.187090455,-4.43E-05
0.174822201,-4.33E-05
0.162860654,-4.25E-05
0.150899107,-4.16E-05
0.138324147,-4.10E-05
0.126669306,-4.01E-05
0.114707759,-3.94E-05
0.102439505,-3.87E-05
0.09109137,-3.80E-05
0.079129823,-3.75E-05
0.066248157,-3.68E-05
0.054900022,-3.64E-05
0.042631769,-3.58E-05
0.030976928,-3.51E-05
0.018708674,-3.49E-05
0.00644042,-3.43E-05
-0.005521127,-3.37E-05
-0.017175968,-3.34E-05
-0.029137515,-3.31E-05
-0.041099062,-3.26E-05
-0.052753903,-3.22E-05
-0.065328863,-3.19E-05
-0.077597117,-3.16E-05
-0.089251958,-3.16E-05
-0.101213505,-3.15E-05
-0.113481759,-3.18E-05
-0.125136599,-3.24E-05
-0.13679144,-3.31E-05
-0.149059694,-3.41E-05
-0.161634654,-3.53E-05
-0.173289495,-3.67E-05
-0.184944336,-3.82E-05
-0.197212589,-3.97E-05
-0.20886743,-4.12E-05
-0.22144239,-4.26E-05
-0.233097231,-4.40E-05
-0.245058778,-4.52E-05
-0.257940445,-4.62E-05
-0.268981873,-4.70E-05
-0.281556833,-4.76E-05
-0.29351838,-4.83E-05
-0.305479927,-4.89E-05
-0.317134768,-4.94E-05
-0.329096316,-4.98E-05
-0.341364569,-5.03E-05
-0.353632823,-5.09E-05
-0.365287664,-5.11E-05
