Potential (V),Current (A)
0.998022018,1.54E-05
0.987287296,1.40E-05
0.976245868,1.28E-05
0.965511146,1.22E-05
0.954163011,1.16E-05
0.942814877,1.13E-05
0.932080155,1.06E-05
0.921038727,9.87E-06
0.909383886,9.71E-06
0.89895587,9.63E-06
0.887914442,9.19E-06
0.87717972,8.98E-06
0.866138292,8.57E-06
0.854790157,8.20E-06
0.844362142,8.52E-06
0.832707301,8.65E-06
0.821972579,8.84E-06
0.810931151,8.50E-06
0.800503135,7.84E-06
0.789155,7.04E-06
0.778113572,6.81E-06
0.76737885,6.80E-06
0.755724009,6.84E-06
0.744989287,7.24E-06
0.734561272,6.97E-06
0.723213137,6.51E-06
0.711865003,5.53E-06
0.700823575,5.30E-06
0.689782146,4.71E-06
0.678740718,4.96E-06
0.668005996,4.90E-06
0.656964568,4.52E-06
0.646229846,4.07E-06
0.635188418,3.26E-06
0.624146989,2.55E-06
0.613105561,6.61E-07
0.602370839,-9.86E-08
0.591022705,-2.01E-07
0.579981276,-6.69E-06
0.568939848,-1.08E-05
0.558205126,-1.55E-05
0.546550285,-2.18E-05
0.535815564,-2.98E-05
0.525080842,-3.88E-05
0.513732707,-4.90E-05
0.503304691,-6.00E-05
0.492263263,-7.08E-05
0.481221835,-8.08E-05
0.470180407,-8.88E-05
0.458832272,-9.46E-05
0.447484138,-9.77E-05
0.437056122,-9.84E-05
0.4263214,-9.70E-05
0.414973266,-9.41E-05
0.403625131,-9.01E-05
0.393503822,-8.58E-05
0.381542274,-8.13E-05
0.371420965,-7.69E-05
0.359766124,-7.22E-05
0.349338109,-6.88E-05
0.337989974,-6.58E-05
0.327255252,-6.33E-05
0.31652053,-6.10E-05
0.305172396,-5.98E-05
0.294130967,-5.76E-05
0.283089539,-5.57E-05
0.271741405,-5.41E-05
0.261006683,-5.28E-05
0.249965255,-5.16E-05
0.238923826,-5.03E-05
0.228189104,-4.92E-05
0.217147676,-4.80E-05
0.205799542,-4.70E-05
0.195371526,-4.63E-05
0.184023391,-4.57E-05
0.172981963,-4.50E-05
0.162247241,-4.40E-05
0.150899107,-4.33E-05
0.140164385,-4.30E-05
0.12881625,-4.22E-05
0.118388235,-4.15E-05
0.107346806,-4.10E-05
0.095691965,-4.06E-05
0.084650537,-3.98E-05
0.074222522,-3.98E-05
0.062874387,-3.92E-05
0.052139665,-3.88E-05
0.041098237,-3.84E-05
0.030363515,-3.78E-05
0.019322087,-3.77E-05
0.008587365,-3.74E-05
-0.00276077,-3.69E-05
-0.013802198,-3.71E-05
-0.024843626,-3.68E-05
-0.036191761,-3.63E-05
-0.046926483,-3.65E-05
-0.057661205,-3.67E-05
-0.068702633,-3.68E-05
-0.079744061,-3.69E-05
-0.091092196,-3.71E-05
-0.097839735,-3.73E-05
-0.086491601,-3.65E-05
-0.076063585,-3.55E-05
-0.064102038,-3.45E-05
-0.053367316,-3.37E-05
-0.042632594,-3.30E-05
-0.031284459,-3.27E-05
-0.020549737,-3.21E-05
-0.009508309,-3.17E-05
0.001533119,-3.12E-05
0.012267841,-3.08E-05
0.023309269,-3.04E-05
0.03496411,-2.99E-05
0.045698832,-2.96E-05
0.05674026,-2.94E-05
0.067474982,-2.92E-05
0.078823117,-2.90E-05
0.089557839,-2.88E-05
0.100292561,-2.82E-05
0.111640695,-2.80E-05
0.122375417,-2.80E-05
0.133416845,-2.79E-05
0.144458274,-2.73E-05
0.155499702,-2.71E-05
0.166847836,-2.71E-05
0.177889265,-2.69E-05
0.188010574,-2.65E-05
0.199052002,-2.63E-05
0.210400137,-2.63E-05
0.221441565,-2.60E-05
0.232176287,-2.56E-05
0.243524421,-2.55E-05
0.25456585,-2.54E-05
0.265913984,-2.50E-05
0.276342,-2.46E-05
0.287690134,-2.47E-05
0.298424856,-2.45E-05
0.309772991,-2.40E-05
0.320201006,-2.39E-05
0.331549141,-2.37E-05
0.342590569,-2.30E-05
0.353631997,-2.23E-05
0.364060013,-2.18E-05
0.375408148,-2.08E-05
0.386756282,-1.93E-05
0.397491004,-1.74E-05
0.408225726,-1.52E-05
0.419573861,-1.25E-05
0.430308583,-7.78E-06
0.441656717,-1.88E-06
0.452391439,2.01E-07
0.463126161,1.26E-05
0.474474295,2.29E-05
0.485515724,3.39E-05
0.497170565,4.53E-05
0.50759858,5.60E-05
0.518333302,6.57E-05
0.529681437,7.34E-05
0.540416159,7.85E-05
0.551150881,8.09E-05
0.562499015,8.06E-05
0.573540443,7.83E-05
0.584888578,7.47E-05
0.595316593,7.07E-05
0.606358022,6.67E-05
0.61739945,6.26E-05
0.628440878,5.86E-05
0.638868894,5.47E-05
0.650523735,5.13E-05
0.66095175,4.82E-05
0.672606591,4.55E-05
0.683034607,4.28E-05
0.694382741,4.08E-05
0.705730876,3.91E-05
0.716158892,3.74E-05
0.727813732,3.55E-05
0.738241748,3.44E-05
0.749283176,3.33E-05
0.760324604,3.20E-05
0.771366033,3.11E-05
0.783020874,3.02E-05
0.793448889,2.90E-05
0.804490317,2.80E-05
0.815531746,2.71E-05
0.82687988,2.59E-05
0.837307896,2.46E-05
0.848349324,2.36E-05
0.859084046,2.30E-05
0.869818768,2.22E-05
0.881780315,2.14E-05
0.892515037,2.08E-05
0.903556465,2.04E-05
0.914291187,1.99E-05
0.925946028,1.95E-05
0.93668075,1.89E-05
0.947415472,1.85E-05
0.958150194,1.82E-05
0.969191622,1.78E-05
0.980539757,1.73E-05
0.991887891,1.71E-05
