Potential (V),Current (A)
0.798356191,7.31E-05
0.78670135,2.53E-05
0.774433096,1.66E-05
0.762471549,1.25E-05
0.750816708,9.79E-06
0.738548454,8.30E-06
0.726586907,6.87E-06
0.714932066,5.96E-06
0.702970519,5.03E-06
0.690702265,4.52E-06
0.678740718,3.87E-06
0.666779171,3.33E-06
0.654817623,2.81E-06
0.643162783,2.11E-06
0.630587823,1.52E-06
0.618932982,6.12E-07
0.607278141,-5.48E-07
0.595009887,-2.09E-06
0.58304834,-4.69E-06
0.570780086,-7.77E-06
0.558511833,-1.20E-05
0.546856992,-1.76E-05
0.534895444,-2.48E-05
0.522627191,-3.31E-05
0.51097235,-4.22E-05
0.499930922,-5.20E-05
0.487049255,-6.17E-05
0.475087708,-7.04E-05
0.463126161,-7.77E-05
0.451164614,-8.30E-05
0.43889636,-8.58E-05
0.426628106,-8.64E-05
0.414973266,-8.54E-05
0.403011718,-8.30E-05
0.391050171,-7.98E-05
0.379088624,-7.64E-05
0.36682037,-7.31E-05
0.355165529,-6.99E-05
0.343203982,-6.72E-05
0.331549141,-6.44E-05
0.318974181,-6.20E-05
0.307012634,-6.00E-05
0.295357793,-5.80E-05
0.283089539,-5.64E-05
0.270821286,-5.47E-05
0.258859738,-5.35E-05
0.247204897,-5.20E-05
0.234936644,-5.08E-05
0.222975097,-4.98E-05
0.211013549,-4.86E-05
0.199052002,-4.77E-05
0.186783748,-4.69E-05
0.174515495,-4.60E-05
0.162553948,-4.50E-05
0.151205813,-4.43E-05
0.138937559,-4.37E-05
0.126976012,-4.30E-05
0.115321171,-4.25E-05
0.102439505,-4.18E-05
0.09109137,-4.12E-05
0.078823117,-4.06E-05
0.066861569,-4.00E-05
0.055206729,-3.96E-05
0.042631769,-3.91E-05
0.031283634,-3.89E-05
0.019322087,-3.85E-05
0.007360539,-3.81E-05
-0.004907714,-3.78E-05
-0.016869261,-3.78E-05
-0.028830809,-3.79E-05
-0.041099062,-3.81E-05
-0.05306061,-3.85E-05
-0.065022157,-3.92E-05
-0.076983704,-4.01E-05
-0.088945251,-4.10E-05
