Potential (V),Current (A)
0.998328724,2.40E-05
0.98698059,2.30E-05
0.976245868,2.23E-05
0.964897733,2.16E-05
0.953856305,2.10E-05
0.943121583,2.05E-05
0.932080155,1.99E-05
0.921038727,1.94E-05
0.910304005,1.89E-05
0.899262577,1.85E-05
0.888527855,1.80E-05
0.877486426,1.76E-05
0.866138292,1.71E-05
0.855710276,1.67E-05
0.844362142,1.63E-05
0.83362742,1.59E-05
0.821972579,1.55E-05
0.811237857,1.51E-05
0.799889722,1.47E-05
0.789461707,1.43E-05
0.778113572,1.39E-05
0.767072144,1.35E-05
0.755724009,1.31E-05
0.745295994,1.27E-05
0.734254566,1.23E-05
0.723519844,1.19E-05
0.712171709,1.14E-05
0.701130281,1.09E-05
0.690088853,1.04E-05
0.679047424,9.80E-06
0.668005996,9.17E-06
0.656964568,8.41E-06
0.646843259,7.50E-06
0.63580183,6.46E-06
0.624453696,5.23E-06
0.613105561,3.77E-06
0.602370839,2.00E-06
0.591636117,-7.36E-08
0.579981276,-2.42E-06
0.569553261,-5.08E-06
0.558205126,-8.06E-06
0.546856992,-1.12E-05
0.536735683,-1.46E-05
0.525080842,-1.81E-05
0.514959532,-2.16E-05
0.502997985,-2.51E-05
0.49256997,-2.84E-05
0.481221835,-3.16E-05
0.470180407,-3.44E-05
0.459445685,-3.71E-05
0.448404257,-3.93E-05
0.437056122,-4.13E-05
0.4263214,-4.28E-05
0.415279972,-4.42E-05
0.40454525,-4.52E-05
0.393197115,-4.59E-05
0.382462393,-4.64E-05
0.371420965,-4.67E-05
0.360379537,-4.68E-05
0.349031402,-4.67E-05
0.33829668,-4.65E-05
0.327255252,-4.61E-05
0.316213824,-4.57E-05
0.305479102,-4.51E-05
0.294130967,-4.46E-05
0.283089539,-4.40E-05
0.272354817,-4.33E-05
0.261620095,-4.26E-05
0.250271961,-4.19E-05
0.239230533,-4.13E-05
0.228495811,-4.06E-05
0.217454382,-3.99E-05
0.205799542,-3.93E-05
0.19506482,-3.87E-05
0.184330098,-3.80E-05
0.173595376,-3.73E-05
0.162247241,-3.67E-05
0.150899107,-3.61E-05
0.140471091,-3.56E-05
0.129122957,-3.50E-05
0.118388235,-3.45E-05
0.107653513,-3.39E-05
0.096305378,-3.34E-05
0.084957244,-3.30E-05
0.074222522,-3.25E-05
0.0634878,-3.20E-05
0.052446371,-3.16E-05
0.041404943,-3.13E-05
0.030363515,-3.09E-05
0.019628793,-3.06E-05
0.007973952,-3.03E-05
-0.002147357,-3.01E-05
-0.013495492,-3.00E-05
-0.02453692,-3.00E-05
-0.035885054,-3.00E-05
-0.046619776,-3.01E-05
-0.057354498,-3.04E-05
-0.068702633,-3.07E-05
-0.079437355,-3.11E-05
-0.090478783,-3.16E-05
-0.097226322,-3.15E-05
-0.086184894,-3.00E-05
-0.075143466,-2.87E-05
-0.064408744,-2.75E-05
-0.053367316,-2.65E-05
-0.042019181,-2.54E-05
-0.031591166,-2.46E-05
-0.020243031,-2.37E-05
-0.009201603,-2.30E-05
0.002146532,-2.23E-05
0.012881254,-2.16E-05
0.024229388,-2.11E-05
0.03496411,-2.06E-05
0.045698832,-2.01E-05
0.05674026,-1.97E-05
0.067474982,-1.93E-05
0.07851641,-1.89E-05
0.090171251,-1.86E-05
0.100905973,-1.83E-05
0.112254108,-1.79E-05
0.122682123,-1.76E-05
0.133416845,-1.73E-05
0.14476498,-1.70E-05
0.155806408,-1.67E-05
0.16654113,-1.64E-05
0.177889265,-1.61E-05
0.18831728,-1.58E-05
0.199972121,-1.55E-05
0.210400137,-1.52E-05
0.221748271,-1.49E-05
0.233096406,-1.46E-05
0.244137834,-1.43E-05
0.255179262,-1.40E-05
0.265913984,-1.37E-05
0.276648706,-1.34E-05
0.287383428,-1.31E-05
0.29811815,-1.28E-05
0.310079697,-1.24E-05
0.320507713,-1.22E-05
0.331855847,-1.17E-05
0.342590569,-1.13E-05
0.353325291,-1.09E-05
0.364673426,-1.04E-05
0.375714854,-9.99E-06
0.386449576,-9.44E-06
0.39779771,-8.83E-06
0.408532432,-8.10E-06
0.419573861,-7.29E-06
0.430921995,-6.29E-06
0.441656717,-5.07E-06
0.452391439,-3.63E-06
0.463126161,-1.87E-06
0.474474295,2.01E-07
0.485515724,2.67E-06
0.496863858,5.48E-06
0.50759858,8.67E-06
0.518946715,1.22E-05
0.529988143,1.59E-05
0.540416159,1.99E-05
0.551764293,2.40E-05
0.562805721,2.80E-05
0.57384715,3.18E-05
0.584581872,3.56E-05
0.5956233,3.89E-05
0.606664728,4.20E-05
0.618319569,4.45E-05
0.628747585,4.66E-05
0.639789013,4.81E-05
0.650217028,4.92E-05
0.661258457,4.98E-05
0.672913298,5.00E-05
0.683954726,4.99E-05
0.694382741,4.94E-05
0.705730876,4.88E-05
0.716465598,4.80E-05
0.727507026,4.71E-05
0.738241748,4.61E-05
0.750203295,4.50E-05
0.760938017,4.40E-05
0.771366033,4.31E-05
0.782407461,4.36E-05
0.794062302,4.28E-05
0.804797024,4.15E-05
0.815838452,4.02E-05
0.826266468,3.91E-05
0.837614602,3.80E-05
0.84865603,3.70E-05
0.859697459,3.60E-05
0.870738887,3.52E-05
0.881780315,3.44E-05
0.891901624,3.36E-05
0.903556465,3.30E-05
0.914291187,3.23E-05
0.925025909,3.16E-05
0.93668075,3.10E-05
0.948028885,3.05E-05
0.9584569,2.98E-05
0.970111741,2.93E-05
0.981153169,2.88E-05
0.991887891,2.83E-05
